Invoice Date,Product,Region,Retailer,Sales Method,State,Price per Unit,Total Sales,Units Sold
01-01-2020,Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,6000,120
02-01-2020,Men's Athletic Footwear,Northeast,Foot Locker,In-store,New York,50,5000,100
03-01-2020,Women's Street Footwear,Northeast,Foot Locker,In-store,New York,40,4000,100
04-01-2020,Women's Athletic Footwear,Northeast,Foot Locker,In-store,New York,45,3825,85
05-01-2020,Men's Apparel,Northeast,Foot Locker,In-store,New York,60,5400,90
06-01-2020,Women's Apparel,Northeast,Foot Locker,In-store,New York,50,5000,100
07-01-2020,Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,6250,125
08-01-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
21-01-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3800,95
22-01-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3713,83
23-01-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5400,90
24-01-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,5000,100
25-01-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,6100,122
26-01-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4625,93
27-01-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3800,95
28-01-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3600,80
29-01-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5100,85
30-01-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,4750,95
31-01-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,6000,120
01-02-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
02-02-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3600,90
03-02-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3713,83
04-02-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,4950,83
05-02-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,4750,95
06-02-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7320,122
07-02-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5088,93
08-02-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
09-02-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4250,85
10-02-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5250,88
03-03-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,6500,100
04-03-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7500,125
05-03-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5500,100
06-03-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4625,93
07-03-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
08-03-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5400,90
09-03-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,6825,105
10-03-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7650,128
11-03-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5638,103
12-03-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4750,95
13-03-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
14-03-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5550,93
15-03-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,7150,110
16-03-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7500,125
17-03-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5638,103
18-03-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4750,95
31-03-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4625,93
17-04-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,60,5400,90
18-04-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,65,6988,108
19-04-2020,Men's Street Footwear,Northeast,Walmart,Outlet,New York,60,7200,120
20-04-2020,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,5500,100
21-04-2020,Women's Street Footwear,Northeast,Walmart,Outlet,New York,50,4625,93
22-04-2020,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,50,4500,90
23-04-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,60,5400,90
24-04-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,65,6500,100
25-04-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,65,5688,88
26-04-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,70,7000,100
27-04-2020,Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,7475,115
28-04-2020,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,5363,98
29-04-2020,Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,5060,92
30-04-2020,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,4950,90
01-05-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,65,5688,88
02-05-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,70,6825,98
03-05-2020,Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,7800,120
04-05-2020,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,5500,100
05-05-2020,Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,5225,95
06-05-2020,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,4950,90
07-05-2020,Men's Apparel,Northeast,Walmart,Outlet,New York,65,5850,90
18-07-2020,Women's Apparel,Northeast,Walmart,Outlet,New York,70,7000,100
19-07-2020,Men's Street Footwear,Northeast,Sports Direct,Outlet,New York,25,2250,90
20-07-2020,Men's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,3150,90
21-07-2020,Women's Street Footwear,Northeast,Sports Direct,Outlet,New York,35,2450,70
22-07-2020,Women's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,2450,70
23-07-2020,Men's Apparel,South,Sports Direct,Outlet,Texas,40,2200,55
24-07-2020,Women's Apparel,South,Sports Direct,Outlet,Texas,35,2450,70
25-07-2020,Men's Street Footwear,South,Sports Direct,Outlet,Texas,25,2125,85
26-07-2020,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,2975,85
27-07-2020,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2363,68
28-07-2020,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,2188,63
29-07-2020,Men's Apparel,South,Sports Direct,Outlet,Texas,40,2000,50
30-07-2020,Women's Apparel,South,Sports Direct,Outlet,Texas,35,2450,70
31-07-2020,Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,2625,88
01-08-2020,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,3500,88
02-08-2020,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2450,70
03-08-2020,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,2400,60
04-08-2020,Men's Apparel,South,Sports Direct,Outlet,Texas,45,2250,50
05-08-2020,Women's Apparel,South,Sports Direct,Outlet,Texas,40,2600,65
06-08-2020,Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,2700,90
07-08-2020,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,3600,90
08-08-2020,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2538,73
09-08-2020,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,2500,63
10-08-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2363,53
11-08-2020,Women's Apparel,South,Walmart,Outlet,Texas,40,3200,80
12-08-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,30,2775,93
13-08-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,40,3700,93
14-08-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,35,2713,78
15-08-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2800,70
16-08-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2700,60
17-08-2020,Women's Apparel,South,Walmart,Outlet,Texas,40,3800,95
18-08-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3800,95
19-08-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4275,95
20-08-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,40,3200,80
21-08-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,3000,75
22-08-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
23-08-2020,Women's Apparel,South,Walmart,Outlet,Texas,50,5000,100
24-08-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3800,95
25-08-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4275,95
26-08-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,40,4400,110
27-08-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2800,70
28-08-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,3150,70
29-08-2020,Women's Apparel,South,Walmart,Outlet,Texas,50,4875,98
30-08-2020,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3700,93
31-08-2020,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4163,93
01-09-2020,Women's Street Footwear,South,Walmart,Outlet,Texas,40,4400,110
02-09-2020,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2600,65
03-09-2020,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
